Year,State,Electoral.Vote.of.each.State,Republican,Democratic,Winner
2000,Alabama,9,9,0,Republican
2000,Alaska,3,3,0,Republican
2000,Arizona,8,8,0,Republican
2000,Arkansas,6,6,0,Republican
2000,California,54,0,54,Democratic
2000,Colorado,8,8,0,Republican
2000,Connecticut,8,0,8,Democratic
2000,Delaware,3,0,3,Democratic
2000,District of Columbia,3,0,2,Democratic
2000,Florida,25,25,0,Republican
2000,Georgia,13,13,0,Republican
2000,Hawaii,4,0,4,Democratic
2000,Idaho,4,4,0,Republican
2000,Illinois,22,0,22,Democratic
2000,Indiana,12,12,0,Republican
2000,Iowa,7,0,7,Democratic
2000,Kansas,6,6,0,Republican
2000,Kentucky,8,8,0,Republican
2000,Louisiana,9,9,0,Republican
2000,Maine,4,0,4,Democratic
2000,Maryland,10,0,10,Democratic
2000,Massachusetts,12,0,12,Democratic
2000,Michigan,18,0,18,Democratic
2000,Minnesota,10,0,10,Democratic
2000,Mississippi,7,7,0,Republican
2000,Missouri,11,11,0,Republican
2000,Montana,3,3,0,Republican
2000,Nebraska,5,5,0,Republican
2000,Nevada,4,4,0,Republican
2000,New Hampshire,4,4,0,Republican
2000,New Jersey,15,0,15,Democratic
2000,New Mexico,5,0,5,Democratic
2000,New York,33,0,33,Democratic
2000,North Carolina,14,14,0,Republican
2000,North Dakota,3,3,0,Republican
2000,Ohio,21,21,0,Republican
2000,Oklahoma,8,8,0,Republican
2000,Oregon,7,0,7,Democratic
2000,Pennsylvania,23,0,23,Democratic
2000,Rhode Island,4,0,4,Democratic
2000,South Carolina,8,8,0,Republican
2000,South Dakota,3,3,0,Republican
2000,Tennessee,11,11,0,Republican
2000,Texas,32,32,0,Republican
2000,Utah,5,5,0,Republican
2000,Vermont,3,0,3,Democratic
2000,Virginia,13,13,0,Republican
2000,Washington,11,0,11,Democratic
2000,West Virginia,5,5,0,Republican
2000,Wisconsin,11,0,11,Democratic
2000,Wyoming,3,3,0,Republican
2004,Alabama,9,9,0,Republican
2004,Alaska,3,3,0,Republican
2004,Arizona,10,10,0,Republican
2004,Arkansas,6,6,0,Republican
2004,California,55,0,55,Democratic
2004,Colorado,9,9,0,Republican
2004,Connecticut,7,0,7,Democratic
2004,Delaware,3,0,3,Democratic
2004,District of Columbia,3,0,3,Democratic
2004,Florida,27,27,0,Republican
2004,Georgia,15,15,0,Republican
2004,Hawaii,4,0,4,Democratic
2004,Idaho,4,4,0,Republican
2004,Illinois,21,0,21,Democratic
2004,Indiana,11,11,0,Republican
2004,Iowa,7,7,0,Republican
2004,Kansas,6,6,0,Republican
2004,Kentucky,8,8,0,Republican
2004,Louisiana,9,9,0,Republican
2004,Maine,4,0,4,Democratic
2004,Maryland,10,0,10,Democratic
2004,Massachusetts,12,0,12,Democratic
2004,Michigan,17,0,17,Democratic
2004,Minnesota,10,0,9,Democratic
2004,Mississippi,6,6,0,Republican
2004,Missouri,11,11,0,Republican
2004,Montana,3,3,0,Republican
2004,Nebraska,5,5,0,Republican
2004,Nevada,5,5,0,Republican
2004,New Hampshire,4,0,4,Democratic
2004,New Jersey,15,0,15,Democratic
2004,New Mexico,5,5,0,Republican
2004,New York,31,0,31,Democratic
2004,North Carolina,15,15,0,Republican
2004,North Dakota,3,3,0,Republican
2004,Ohio,20,20,0,Republican
2004,Oklahoma,7,7,0,Republican
2004,Oregon,7,0,7,Democratic
2004,Pennsylvania,21,0,21,Democratic
2004,Rhode Island,4,0,4,Democratic
2004,South Carolina,8,8,0,Republican
2004,South Dakota,3,3,0,Republican
2004,Tennessee,11,11,0,Republican
2004,Texas,34,34,0,Republican
2004,Utah,5,5,0,Republican
2004,Vermont,3,0,3,Democratic
2004,Virginia,13,13,0,Republican
2004,Washington,11,0,11,Democratic
2004,West Virginia,5,5,0,Republican
2004,Wisconsin,10,0,10,Democratic
2004,Wyoming,3,3,0,Republican
2008,Alabama,9,9,0,Republican
2008,Alaska,3,3,0,Republican
2008,Arizona,10,10,0,Republican
2008,Arkansas,6,6,0,Republican
2008,California,55,0,55,Democratic
2008,Colorado,9,0,9,Democratic
2008,Connecticut,7,0,7,Democratic
2008,Delaware,3,0,3,Democratic
2008,District of Columbia,3,0,3,Democratic
2008,Florida,27,0,27,Democratic
2008,Georgia,15,15,0,Republican
2008,Hawaii,4,0,4,Democratic
2008,Idaho,4,4,0,Republican
2008,Illinois,21,0,21,Democratic
2008,Indiana,11,0,11,Democratic
2008,Iowa,7,0,7,Democratic
2008,Kansas,6,6,0,Republican
2008,Kentucky,8,8,0,Republican
2008,Louisiana,9,9,0,Republican
2008,Maine,4,0,4,Democratic
2008,Maryland,10,0,10,Democratic
2008,Massachusetts,12,0,12,Democratic
2008,Michigan,17,0,17,Democratic
2008,Minnesota,10,0,10,Democratic
2008,Mississippi,6,6,0,Republican
2008,Missouri,11,11,0,Republican
2008,Montana,3,3,0,Republican
2008,Nebraska,5,4,1,Republican
2008,Nevada,5,0,5,Democratic
2008,New Hampshire,4,0,4,Democratic
2008,New Jersey,15,0,15,Democratic
2008,New Mexico,5,0,5,Democratic
2008,New York,31,0,31,Democratic
2008,North Carolina,15,0,15,Democratic
2008,North Dakota,3,3,0,Republican
2008,Ohio,20,0,20,Democratic
2008,Oklahoma,7,7,0,Republican
2008,Oregon,7,0,7,Democratic
2008,Pennsylvania,21,0,21,Democratic
2008,Rhode Island,4,0,4,Democratic
2008,South Carolina,8,8,0,Republican
2008,South Dakota,3,3,0,Republican
2008,Tennessee,11,11,0,Republican
2008,Texas,34,34,0,Republican
2008,Utah,5,5,0,Republican
2008,Vermont,3,0,3,Democratic
2008,Virginia,13,0,13,Democratic
2008,Washington,11,0,11,Democratic
2008,West Virginia,5,5,0,Republican
2008,Wisconsin,10,0,10,Democratic
2008,Wyoming,3,3,0,Republican
2012,Alabama,9,9,0,Republican
2012,Alaska,3,3,0,Republican
2012,Arizona,11,11,0,Republican
2012,Arkansas,6,6,0,Republican
2012,California,55,0,55,Democratic
2012,Colorado,9,0,9,Democratic
2012,Connecticut,7,0,7,Democratic
2012,Delaware,3,0,3,Democratic
2012,District of Columbia,3,0,3,Democratic
2012,Florida,29,0,29,Democratic
2012,Georgia,16,16,0,Republican
2012,Hawaii,4,0,4,Democratic
2012,Idaho,4,4,0,Republican
2012,Illinois,20,0,20,Democratic
2012,Indiana,11,11,0,Republican
2012,Iowa,6,0,6,Democratic
2012,Kansas,6,6,0,Republican
2012,Kentucky,8,8,0,Republican
2012,Louisiana,8,8,0,Republican
2012,Maine,4,0,4,Democratic
2012,Maryland,10,0,10,Democratic
2012,Massachusetts,11,0,11,Democratic
2012,Michigan,16,0,16,Democratic
2012,Minnesota,10,0,10,Democratic
2012,Mississippi,6,6,0,Republican
2012,Missouri,10,10,0,Republican
2012,Montana,3,3,0,Republican
2012,Nebraska,5,5,0,Republican
2012,Nevada,6,0,6,Democratic
2012,New Hampshire,4,0,4,Democratic
2012,New Jersey,14,0,14,Democratic
2012,New Mexico,5,0,5,Democratic
2012,New York,29,0,29,Democratic
2012,North Carolina,15,15,0,Republican
2012,North Dakota,3,3,0,Republican
2012,Ohio,18,0,18,Democratic
2012,Oklahoma,7,7,0,Republican
2012,Oregon,7,0,7,Democratic
2012,Pennsylvania,20,0,20,Democratic
2012,Rhode Island,4,0,4,Democratic
2012,South Carolina,9,9,0,Republican
2012,South Dakota,3,3,0,Republican
2012,Tennessee,11,11,0,Republican
2012,Texas,38,38,0,Republican
2012,Utah,6,6,0,Republican
2012,Vermont,3,0,3,Democratic
2012,Virginia,13,0,13,Democratic
2012,Washington,12,0,12,Democratic
2012,West Virginia,5,5,0,Republican
2012,Wisconsin,10,0,10,Democratic
2012,Wyoming,3,3,0,Republican
2016,Alabama,9,9,0,Republican
2016,Alaska,3,3,0,Republican
2016,Arizona,11,11,0,Republican
2016,Arkansas,6,6,0,Republican
2016,California,55,0,55,Democratic
2016,Colorado,9,0,9,Democratic
2016,Connecticut,7,0,7,Democratic
2016,Delaware,3,0,3,Democratic
2016,District of Columbia,3,0,3,Democratic
2016,Florida,29,29,0,Republican
2016,Georgia,16,16,0,Republican
2016,Hawaii,4,0,3,Democratic
2016,Idaho,4,4,0,Republican
2016,Illinois,20,0,20,Democratic
2016,Indiana,11,11,0,Republican
2016,Iowa,6,6,0,Republican
2016,Kansas,6,6,0,Republican
2016,Kentucky,8,8,0,Republican
2016,Louisiana,8,8,0,Republican
2016,Maine,4,1,3,Democratic
2016,Maryland,10,0,10,Democratic
2016,Massachusetts,11,0,11,Democratic
2016,Michigan,16,16,0,Republican
2016,Minnesota,10,0,10,Democratic
2016,Mississippi,6,6,0,Republican
2016,Missouri,10,10,0,Republican
2016,Montana,3,3,0,Republican
2016,Nebraska,5,5,0,Republican
2016,Nevada,6,0,6,Democratic
2016,New Hampshire,4,0,4,Democratic
2016,New Jersey,14,0,14,Democratic
2016,New Mexico,5,0,5,Democratic
2016,New York,29,0,29,Democratic
2016,North Carolina,15,15,0,Republican
2016,North Dakota,3,3,0,Republican
2016,Ohio,18,18,0,Republican
2016,Oklahoma,7,7,0,Republican
2016,Oregon,7,0,7,Democratic
2016,Pennsylvania,20,20,0,Republican
2016,Rhode Island,4,0,4,Democratic
2016,South Carolina,9,9,0,Republican
2016,South Dakota,3,3,0,Republican
2016,Tennessee,11,11,0,Republican
2016,Texas,38,36,0,Republican
2016,Utah,6,6,0,Republican
2016,Vermont,3,0,3,Democratic
2016,Virginia,13,0,13,Democratic
2016,Washington,12,0,8,Democratic
2016,West Virginia,5,5,0,Republican
2016,Wisconsin,10,10,0,Republican
2016,Wyoming,3,3,0,Republican
2020,Alabama,9,9,0,Republican
2020,Alaska,3,3,0,Republican
2020,Arizona,11,0,11,Democratic
2020,Arkansas,6,6,0,Republican
2020,California,55,0,55,Democratic
2020,Colorado,9,0,9,Democratic
2020,Connecticut,7,0,7,Democratic
2020,Delaware,3,0,3,Democratic
2020,District of Columbia,3,0,3,Democratic
2020,Florida,29,29,0,Republican
2020,Georgia,16,0,16,Democratic
2020,Hawaii,4,0,4,Democratic
2020,Idaho,4,4,0,Republican
2020,Illinois,20,0,20,Democratic
2020,Indiana,11,11,0,Republican
2020,Iowa,6,6,0,Republican
2020,Kansas,6,6,0,Republican
2020,Kentucky,8,8,0,Republican
2020,Louisiana,8,8,0,Republican
2020,Maine,4,1,3,Democratic
2020,Maryland,10,0,10,Democratic
2020,Massachusetts,11,0,11,Democratic
2020,Michigan,16,0,16,Democratic
2020,Minnesota,10,0,10,Democratic
2020,Mississippi,6,6,0,Republican
2020,Missouri,10,10,0,Republican
2020,Montana,3,3,0,Republican
2020,Nebraska,5,4,1,Republican
2020,Nevada,6,0,6,Democratic
2020,New Hampshire,4,0,4,Democratic
2020,New Jersey,14,0,14,Democratic
2020,New Mexico,5,0,5,Democratic
2020,New York,29,0,29,Democratic
2020,North Carolina,15,15,0,Republican
2020,North Dakota,3,3,0,Republican
2020,Ohio,18,18,0,Republican
2020,Oklahoma,7,7,0,Republican
2020,Oregon,7,0,7,Democratic
2020,Pennsylvania,20,0,20,Democratic
2020,Rhode Island,4,0,4,Democratic
2020,South Carolina,9,9,0,Republican
2020,South Dakota,3,3,0,Republican
2020,Tennessee,11,11,0,Republican
2020,Texas,38,38,0,Republican
2020,Utah,6,6,0,Republican
2020,Vermont,3,0,3,Democratic
2020,Virginia,13,0,13,Democratic
2020,Washington,12,0,12,Democratic
2020,West Virginia,5,5,0,Republican
2020,Wisconsin,10,0,10,Democratic
2020,Wyoming,3,3,0,Republican