"","Year","State","Electoral.Vote.of.each.State","Republican","Democratic","Winner"
"1",2000,"Alabama",9,9,0,"Republican"
"2",2000,"Alaska",3,3,0,"Republican"
"3",2000,"Arizona",8,8,0,"Republican"
"4",2000,"Arkansas",6,6,0,"Republican"
"5",2000,"California",54,0,54,"Democratic"
"6",2000,"Colorado",8,8,0,"Republican"
"7",2000,"Connecticut",8,0,8,"Democratic"
"8",2000,"Delaware",3,0,3,"Democratic"
"9",2000,"District of Columbia",3,0,2,"Democratic"
"10",2000,"Florida",25,25,0,"Republican"
"11",2000,"Georgia",13,13,0,"Republican"
"12",2000,"Hawaii",4,0,4,"Democratic"
"13",2000,"Idaho",4,4,0,"Republican"
"14",2000,"Illinois",22,0,22,"Democratic"
"15",2000,"Indiana",12,12,0,"Republican"
"16",2000,"Iowa",7,0,7,"Democratic"
"17",2000,"Kansas",6,6,0,"Republican"
"18",2000,"Kentucky",8,8,0,"Republican"
"19",2000,"Louisiana",9,9,0,"Republican"
"20",2000,"Maine",4,0,4,"Democratic"
"21",2000,"Maryland",10,0,10,"Democratic"
"22",2000,"Massachusetts",12,0,12,"Democratic"
"23",2000,"Michigan",18,0,18,"Democratic"
"24",2000,"Minnesota",10,0,10,"Democratic"
"25",2000,"Mississippi",7,7,0,"Republican"
"26",2000,"Missouri",11,11,0,"Republican"
"27",2000,"Montana",3,3,0,"Republican"
"28",2000,"Nebraska",5,5,0,"Republican"
"29",2000,"Nevada",4,4,0,"Republican"
"30",2000,"New Hampshire",4,4,0,"Republican"
"31",2000,"New Jersey",15,0,15,"Democratic"
"32",2000,"New Mexico",5,0,5,"Democratic"
"33",2000,"New York",33,0,33,"Democratic"
"34",2000,"North Carolina",14,14,0,"Republican"
"35",2000,"North Dakota",3,3,0,"Republican"
"36",2000,"Ohio",21,21,0,"Republican"
"37",2000,"Oklahoma",8,8,0,"Republican"
"38",2000,"Oregon",7,0,7,"Democratic"
"39",2000,"Pennsylvania",23,0,23,"Democratic"
"40",2000,"Rhode Island",4,0,4,"Democratic"
"41",2000,"South Carolina",8,8,0,"Republican"
"42",2000,"South Dakota",3,3,0,"Republican"
"43",2000,"Tennessee",11,11,0,"Republican"
"44",2000,"Texas",32,32,0,"Republican"
"45",2000,"Utah",5,5,0,"Republican"
"46",2000,"Vermont",3,0,3,"Democratic"
"47",2000,"Virginia",13,13,0,"Republican"
"48",2000,"Washington",11,0,11,"Democratic"
"49",2000,"West Virginia",5,5,0,"Republican"
"50",2000,"Wisconsin",11,0,11,"Democratic"
"51",2000,"Wyoming",3,3,0,"Republican"
"52",2004,"Alabama",9,9,0,"Republican"
"53",2004,"Alaska",3,3,0,"Republican"
"54",2004,"Arizona",10,10,0,"Republican"
"55",2004,"Arkansas",6,6,0,"Republican"
"56",2004,"California",55,0,55,"Democratic"
"57",2004,"Colorado",9,9,0,"Republican"
"58",2004,"Connecticut",7,0,7,"Democratic"
"59",2004,"Delaware",3,0,3,"Democratic"
"60",2004,"District of Columbia",3,0,3,"Democratic"
"61",2004,"Florida",27,27,0,"Republican"
"62",2004,"Georgia",15,15,0,"Republican"
"63",2004,"Hawaii",4,0,4,"Democratic"
"64",2004,"Idaho",4,4,0,"Republican"
"65",2004,"Illinois",21,0,21,"Democratic"
"66",2004,"Indiana",11,11,0,"Republican"
"67",2004,"Iowa",7,7,0,"Republican"
"68",2004,"Kansas",6,6,0,"Republican"
"69",2004,"Kentucky",8,8,0,"Republican"
"70",2004,"Louisiana",9,9,0,"Republican"
"71",2004,"Maine",4,0,4,"Democratic"
"72",2004,"Maryland",10,0,10,"Democratic"
"73",2004,"Massachusetts",12,0,12,"Democratic"
"74",2004,"Michigan",17,0,17,"Democratic"
"75",2004,"Minnesota",10,0,9,"Democratic"
"76",2004,"Mississippi",6,6,0,"Republican"
"77",2004,"Missouri",11,11,0,"Republican"
"78",2004,"Montana",3,3,0,"Republican"
"79",2004,"Nebraska",5,5,0,"Republican"
"80",2004,"Nevada",5,5,0,"Republican"
"81",2004,"New Hampshire",4,0,4,"Democratic"
"82",2004,"New Jersey",15,0,15,"Democratic"
"83",2004,"New Mexico",5,5,0,"Republican"
"84",2004,"New York",31,0,31,"Democratic"
"85",2004,"North Carolina",15,15,0,"Republican"
"86",2004,"North Dakota",3,3,0,"Republican"
"87",2004,"Ohio",20,20,0,"Republican"
"88",2004,"Oklahoma",7,7,0,"Republican"
"89",2004,"Oregon",7,0,7,"Democratic"
"90",2004,"Pennsylvania",21,0,21,"Democratic"
"91",2004,"Rhode Island",4,0,4,"Democratic"
"92",2004,"South Carolina",8,8,0,"Republican"
"93",2004,"South Dakota",3,3,0,"Republican"
"94",2004,"Tennessee",11,11,0,"Republican"
"95",2004,"Texas",34,34,0,"Republican"
"96",2004,"Utah",5,5,0,"Republican"
"97",2004,"Vermont",3,0,3,"Democratic"
"98",2004,"Virginia",13,13,0,"Republican"
"99",2004,"Washington",11,0,11,"Democratic"
"100",2004,"West Virginia",5,5,0,"Republican"
"101",2004,"Wisconsin",10,0,10,"Democratic"
"102",2004,"Wyoming",3,3,0,"Republican"
"103",2008,"Alabama",9,9,0,"Republican"
"104",2008,"Alaska",3,3,0,"Republican"
"105",2008,"Arizona",10,10,0,"Republican"
"106",2008,"Arkansas",6,6,0,"Republican"
"107",2008,"California",55,0,55,"Democratic"
"108",2008,"Colorado",9,0,9,"Democratic"
"109",2008,"Connecticut",7,0,7,"Democratic"
"110",2008,"Delaware",3,0,3,"Democratic"
"111",2008,"District of Columbia",3,0,3,"Democratic"
"112",2008,"Florida",27,0,27,"Democratic"
"113",2008,"Georgia",15,15,0,"Republican"
"114",2008,"Hawaii",4,0,4,"Democratic"
"115",2008,"Idaho",4,4,0,"Republican"
"116",2008,"Illinois",21,0,21,"Democratic"
"117",2008,"Indiana",11,0,11,"Democratic"
"118",2008,"Iowa",7,0,7,"Democratic"
"119",2008,"Kansas",6,6,0,"Republican"
"120",2008,"Kentucky",8,8,0,"Republican"
"121",2008,"Louisiana",9,9,0,"Republican"
"122",2008,"Maine",4,0,4,"Democratic"
"123",2008,"Maryland",10,0,10,"Democratic"
"124",2008,"Massachusetts",12,0,12,"Democratic"
"125",2008,"Michigan",17,0,17,"Democratic"
"126",2008,"Minnesota",10,0,10,"Democratic"
"127",2008,"Mississippi",6,6,0,"Republican"
"128",2008,"Missouri",11,11,0,"Republican"
"129",2008,"Montana",3,3,0,"Republican"
"130",2008,"Nebraska ",5,4,1,"Republican"
"131",2008,"Nevada",5,0,5,"Democratic"
"132",2008,"New Hampshire",4,0,4,"Democratic"
"133",2008,"New Jersey",15,0,15,"Democratic"
"134",2008,"New Mexico",5,0,5,"Democratic"
"135",2008,"New York",31,0,31,"Democratic"
"136",2008,"North Carolina",15,0,15,"Democratic"
"137",2008,"North Dakota",3,3,0,"Republican"
"138",2008,"Ohio",20,0,20,"Democratic"
"139",2008,"Oklahoma",7,7,0,"Republican"
"140",2008,"Oregon",7,0,7,"Democratic"
"141",2008,"Pennsylvania",21,0,21,"Democratic"
"142",2008,"Rhode Island",4,0,4,"Democratic"
"143",2008,"South Carolina",8,8,0,"Republican"
"144",2008,"South Dakota",3,3,0,"Republican"
"145",2008,"Tennessee",11,11,0,"Republican"
"146",2008,"Texas",34,34,0,"Republican"
"147",2008,"Utah",5,5,0,"Republican"
"148",2008,"Vermont",3,0,3,"Democratic"
"149",2008,"Virginia",13,0,13,"Democratic"
"150",2008,"Washington",11,0,11,"Democratic"
"151",2008,"West Virginia",5,5,0,"Republican"
"152",2008,"Wisconsin",10,0,10,"Democratic"
"153",2008,"Wyoming",3,3,0,"Republican"
"154",2012,"Alabama",9,9,0,"Republican"
"155",2012,"Alaska",3,3,0,"Republican"
"156",2012,"Arizona",11,11,0,"Republican"
"157",2012,"Arkansas",6,6,0,"Republican"
"158",2012,"California",55,0,55,"Democratic"
"159",2012,"Colorado",9,0,9,"Democratic"
"160",2012,"Connecticut",7,0,7,"Democratic"
"161",2012,"Delaware",3,0,3,"Democratic"
"162",2012,"District of Columbia",3,0,3,"Democratic"
"163",2012,"Florida",29,0,29,"Democratic"
"164",2012,"Georgia",16,16,0,"Republican"
"165",2012,"Hawaii",4,0,4,"Democratic"
"166",2012,"Idaho",4,4,0,"Republican"
"167",2012,"Illinois",20,0,20,"Democratic"
"168",2012,"Indiana",11,11,0,"Republican"
"169",2012,"Iowa",6,0,6,"Democratic"
"170",2012,"Kansas",6,6,0,"Republican"
"171",2012,"Kentucky",8,8,0,"Republican"
"172",2012,"Louisiana",8,8,0,"Republican"
"173",2012,"Maine",4,0,4,"Democratic"
"174",2012,"Maryland",10,0,10,"Democratic"
"175",2012,"Massachusetts",11,0,11,"Democratic"
"176",2012,"Michigan",16,0,16,"Democratic"
"177",2012,"Minnesota",10,0,10,"Democratic"
"178",2012,"Mississippi",6,6,0,"Republican"
"179",2012,"Missouri",10,10,0,"Republican"
"180",2012,"Montana",3,3,0,"Republican"
"181",2012,"Nebraska",5,5,0,"Republican"
"182",2012,"Nevada",6,0,6,"Democratic"
"183",2012,"New Hampshire",4,0,4,"Democratic"
"184",2012,"New Jersey",14,0,14,"Democratic"
"185",2012,"New Mexico",5,0,5,"Democratic"
"186",2012,"New York",29,0,29,"Democratic"
"187",2012,"North Carolina",15,15,0,"Republican"
"188",2012,"North Dakota",3,3,0,"Republican"
"189",2012,"Ohio",18,0,18,"Democratic"
"190",2012,"Oklahoma",7,7,0,"Republican"
"191",2012,"Oregon",7,0,7,"Democratic"
"192",2012,"Pennsylvania",20,0,20,"Democratic"
"193",2012,"Rhode Island",4,0,4,"Democratic"
"194",2012,"South Carolina",9,9,0,"Republican"
"195",2012,"South Dakota",3,3,0,"Republican"
"196",2012,"Tennessee",11,11,0,"Republican"
"197",2012,"Texas",38,38,0,"Republican"
"198",2012,"Utah",6,6,0,"Republican"
"199",2012,"Vermont",3,0,3,"Democratic"
"200",2012,"Virginia",13,0,13,"Democratic"
"201",2012,"Washington",12,0,12,"Democratic"
"202",2012,"West Virginia",5,5,0,"Republican"
"203",2012,"Wisconsin",10,0,10,"Democratic"
"204",2012,"Wyoming",3,3,0,"Republican"
"205",2016,"Alabama",9,9,0,"Republican"
"206",2016,"Alaska",3,3,0,"Republican"
"207",2016,"Arizona",11,11,0,"Republican"
"208",2016,"Arkansas",6,6,0,"Republican"
"209",2016,"California",55,0,55,"Democratic"
"210",2016,"Colorado",9,0,9,"Democratic"
"211",2016,"Connecticut",7,0,7,"Democratic"
"212",2016,"Delaware",3,0,3,"Democratic"
"213",2016,"District of Columbia",3,0,3,"Democratic"
"214",2016,"Florida",29,29,0,"Republican"
"215",2016,"Georgia",16,16,0,"Republican"
"216",2016,"Hawaii",4,0,3,"Democratic"
"217",2016,"Idaho",4,4,0,"Republican"
"218",2016,"Illinois",20,0,20,"Democratic"
"219",2016,"Indiana",11,11,0,"Republican"
"220",2016,"Iowa",6,6,0,"Republican"
"221",2016,"Kansas",6,6,0,"Republican"
"222",2016,"Kentucky",8,8,0,"Republican"
"223",2016,"Louisiana",8,8,0,"Republican"
"224",2016,"Maine",4,1,3,"Democratic"
"225",2016,"Maryland",10,0,10,"Democratic"
"226",2016,"Massachusetts",11,0,11,"Democratic"
"227",2016,"Michigan",16,16,0,"Republican"
"228",2016,"Minnesota",10,0,10,"Democratic"
"229",2016,"Mississippi",6,6,0,"Republican"
"230",2016,"Missouri",10,10,0,"Republican"
"231",2016,"Montana",3,3,0,"Republican"
"232",2016,"Nebraska",5,5,0,"Republican"
"233",2016,"Nevada",6,0,6,"Democratic"
"234",2016,"New Hampshire",4,0,4,"Democratic"
"235",2016,"New Jersey",14,0,14,"Democratic"
"236",2016,"New Mexico",5,0,5,"Democratic"
"237",2016,"New York",29,0,29,"Democratic"
"238",2016,"North Carolina",15,15,0,"Republican"
"239",2016,"North Dakota",3,3,0,"Republican"
"240",2016,"Ohio",18,18,0,"Republican"
"241",2016,"Oklahoma",7,7,0,"Republican"
"242",2016,"Oregon",7,0,7,"Democratic"
"243",2016,"Pennsylvania",20,20,0,"Republican"
"244",2016,"Rhode Island",4,0,4,"Democratic"
"245",2016,"South Carolina",9,9,0,"Republican"
"246",2016,"South Dakota",3,3,0,"Republican"
"247",2016,"Tennessee",11,11,0,"Republican"
"248",2016,"Texas",38,36,0,"Republican"
"249",2016,"Utah",6,6,0,"Republican"
"250",2016,"Vermont",3,0,3,"Democratic"
"251",2016,"Virginia",13,0,13,"Democratic"
"252",2016,"Washington",12,0,8,"Democratic"
"253",2016,"West Virginia",5,5,0,"Republican"
"254",2016,"Wisconsin",10,10,0,"Republican"
"255",2016,"Wyoming",3,3,0,"Republican"
"256",2020,"Alabama",9,9,0,"Republican"
"257",2020,"Alaska",3,3,0,"Republican"
"258",2020,"Arizona",11,0,11,"Democratic"
"259",2020,"Arkansas",6,6,0,"Republican"
"260",2020,"California",55,0,55,"Democratic"
"261",2020,"Colorado",9,0,9,"Democratic"
"262",2020,"Connecticut",7,0,7,"Democratic"
"263",2020,"Delaware",3,0,3,"Democratic"
"264",2020,"District of Columbia",3,0,3,"Democratic"
"265",2020,"Florida",29,29,0,"Republican"
"266",2020,"Georgia",16,0,16,"Democratic"
"267",2020,"Hawaii",4,0,4,"Democratic"
"268",2020,"Idaho",4,4,0,"Republican"
"269",2020,"Illinois",20,0,20,"Democratic"
"270",2020,"Indiana",11,11,0,"Republican"
"271",2020,"Iowa",6,6,0,"Republican"
"272",2020,"Kansas",6,6,0,"Republican"
"273",2020,"Kentucky",8,8,0,"Republican"
"274",2020,"Louisiana",8,8,0,"Republican"
"275",2020,"Maine",4,1,3,"Democratic"
"276",2020,"Maryland",10,0,10,"Democratic"
"277",2020,"Massachusetts",11,0,11,"Democratic"
"278",2020,"Michigan",16,0,16,"Democratic"
"279",2020,"Minnesota",10,0,10,"Democratic"
"280",2020,"Mississippi",6,6,0,"Republican"
"281",2020,"Missouri",10,10,0,"Republican"
"282",2020,"Montana",3,3,0,"Republican"
"283",2020,"Nebraska",5,4,1,"Republican"
"284",2020,"Nevada",6,0,6,"Democratic"
"285",2020,"New Hampshire",4,0,4,"Democratic"
"286",2020,"New Jersey",14,0,14,"Democratic"
"287",2020,"New Mexico",5,0,5,"Democratic"
"288",2020,"New York",29,0,29,"Democratic"
"289",2020,"North Carolina",15,15,0,"Republican"
"290",2020,"North Dakota",3,3,0,"Republican"
"291",2020,"Ohio",18,18,0,"Republican"
"292",2020,"Oklahoma",7,7,0,"Republican"
"293",2020,"Oregon",7,0,7,"Democratic"
"294",2020,"Pennsylvania",20,0,20,"Democratic"
"295",2020,"Rhode Island",4,0,4,"Democratic"
"296",2020,"South Carolina",9,9,0,"Republican"
"297",2020,"South Dakota",3,3,0,"Republican"
"298",2020,"Tennessee",11,11,0,"Republican"
"299",2020,"Texas",38,38,0,"Republican"
"300",2020,"Utah",6,6,0,"Republican"
"301",2020,"Vermont",3,0,3,"Democratic"
"302",2020,"Virginia",13,0,13,"Democratic"
"303",2020,"Washington",12,0,12,"Democratic"
"304",2020,"West Virginia",5,5,0,"Republican"
"305",2020,"Wisconsin",10,0,10,"Democratic"
"306",2020,"Wyoming",3,3,0,"Republican"
